Date,Start,End,Miles
2012-01-01,Southernmost Point in the USA,Cudjoe Key,21.9
2012-01-02,Cudjoe Key,Marathon Key,28.1
2012-01-03,Marathon Key,Islamorada,31.0
2012-01-04,Islamorada,Key Largo,19.4
2012-01-05,Key Largo,Florida City,26.8
2012-01-06,Homestead,Homestead,0.0
2012-01-07,Florida City,Coopertown,27.0
2012-01-08,Homestead,Homestead,0.0
2012-01-09,Coopertown,Florida Trail Southern Terminus,30.1
2012-01-10,Florida Trail Southern Terminus,Thirteen Mile Camp,24.6
2012-01-11,Thirteen Mile Camp,Nobles Road Camp,18.3
2012-01-12,Nobles Road Camp,CR 835 Picnic Shelter,37.3
2012-01-13,CR 835 Picnic Shelter,Clewiston,23.6
2012-01-14,Clewiston,C-5A Camp,18.7
2012-01-15,C-5A Camp,Indian Prairie Camp,17.1
2012-01-16,Indian Prairie Camp,Platts Bluff Boat Launch,25.4
2012-01-17,Platts Bluff Boat Launch,Basinger Camp,16.3
2012-01-18,Basinger Camp,Mosquito Hammock Camp,19.1
2012-01-19,Mosquito Hammock Camp,Old Godwin Home Site,19.8
2012-01-20,Old Godwin Home Site,Three Lakes Wildlife Management Area,18.9
2012-01-21,Three Lakes Wildlife Management Area,Three Lakes Camp,21.5
2012-01-22,Three Lakes Camp,Nova Road,40.5
2012-01-23,Nova Road,Christmas,27.1
2012-01-24,Christmas,Oviedo,31.3
2012-01-25,Oviedo,Lake Mary,17.6
2012-01-26,Lake Mary,Paisley,26.6
2012-01-27,Paisley,Middle of Ocala National Forest,30.2
2012-01-28,Middle of Ocala National Forest,88 Store,27.0
2012-01-29,88 Store,Rice Creek Hilton,30.7
2012-01-30,Rice Creek Hilton,Iron Bridge Shelter,13.1
2012-01-31,Iron Bridge Shelter,Hampton,31.4
2012-02-01,Hampton,Lake Butler,19.5
2012-02-02,Lake Butler,Olustee Battlefield Museum,19.3
2012-02-03,Olustee Battlefield Museum,White Springs,38.3
2012-02-04,White Springs,White Springs,0.0
2012-02-05,White Springs,Suwanee River,12.4
2012-02-06,Suwanee River,Holton Creek Camp,17.1
2012-02-07,Holton Creek Camp,Holton Creek Camp,0.0
2012-02-08,Holton Creek Camp,Holton Creek Camp,0.0
2012-02-09,Holton Creek Camp,Mill Creek Camp,31.3
2012-02-10,Mill Creek Camp,US 221,33.0
2012-02-11,US 221,JR's Aucilla River Store,40.9
2012-02-12,JR's Aucilla River Store,St. Marks,22.5
2012-02-13,St. Marks,St. Marks Natural Wildlife Reserve,19.9
2012-02-14,St. Marks Natural Wildlife Reserve,Bradwell Bay,33.0
2012-02-15,Bradwell Bay,Vilas,26.6
2012-02-16,Vilas,Camel Lake Campground,9.6
2012-02-17,Crawfordville,Crawfordville,0.0
2012-02-18,Camel Lake Campground,Blountstown,20.0
2012-02-19,Blountstown,Scott Road,26.4
2012-02-20,Scott Road,SR 20,33.7
2012-02-21,SR 20,Forgotten Creek Camp,26.5
2012-02-22,Forgotten Creek Camp,Bull Campsite,32.8
2012-02-23,Bull Campsite,US 90,35.8
2012-02-24,US 90,Juniper Creek Shelter,30.5
2012-02-25,Juniper Creek Shelter,"Rock Creek Road, AL",31.8
2012-02-26,"Rock Creek Road, AL",Andalusia,31.5
2012-02-27,Andalusia,Spring Hill Road & Mt. Ida Road,29.5
2012-02-28,Spring Hill Road & Mt. Ida Road,Lapine,27.0
2012-02-29,Lapine,Montgomery,32.9
2012-03-01,Montgomery,Buyck Road,24.1
2012-03-02,Buyck Road,CR 56,27.2
2012-03-03,Blister Bob & Shadow Sue's House,Blister Bob & Shadow Sue's House,0.0
2012-03-04,CR 56,Bull Gap,28.2
2012-03-05,Bull Gap,Small Campsite,24.4
2012-03-06,Small Campsite,Cheaha Trailhead,22.7
2012-03-07,Cheaha Trailhead,Stream,12.4
2012-03-08,Stream,SR 281,11.8
2012-03-09,SR 281,Laurel Shelter,21.1
2012-03-10,Laurel Shelter,Oakey Mountain Shelter,26.9
2012-03-11,Oakey Mountain Shelter,"Cave Spring, GA",31.3
2012-03-12,"Cave Spring, GA",Simms Mountain ATV Trail,20.7
2012-03-13,Simms Mountain ATV Trail,Spring Crossing Campsite,24.7
2012-03-14,Spring Crossing Campsite,Johns Mountain Overlook,20.9
2012-03-15,Johns Mountain Overlook,Dalton,26.0
2012-03-16,Dalton,Callie Jones Road,12.3
2012-03-17,Callie Jones Road,Cohutta Wilderness Ridgeline,29.6
2012-03-18,Cohutta Wilderness Ridgeline,Blue Ridge,41.5
2012-03-19,Blue Ridge,Little Skeenah Creek,28.0
2012-03-20,Little Skeenah Creek,Springer Mountain Shelter,17.6
2012-03-21,Springer Mountain Shelter,Woody Gap,20.9
2012-03-22,Woody Gap,Low Gap Shelter,22.1
2012-03-23,Low Gap Shelter,NC/GA State Line,35.3
2012-03-24,NC/GA State Line,Deep Gap,6.9
2012-03-25,Deep Gap,Carter Gap Shelter,8.5
2012-03-26,Carter Gap Shelter,Cold Spring Shelter,31.7
2012-03-27,Cold Spring Shelter,Brown Fork Gap Shelter,27.5
2012-03-28,Brown Fork Gap Shelter,Spence Field Shelter,29.4
2012-03-29,Spence Field Shelter,Icewater Spring Shelter,27.3
2012-03-30,Icewater Spring Shelter,Mt. Cammerer Lookout Tower,23.1
2012-03-31,Mt. Cammerer Lookout Tower,Walnut Mountain Shelter,27.9
2012-04-01,Walnut Mountain Shelter,Hot Springs,13.1
2012-04-02,Hot Springs,Hot Springs,0.0
2012-04-03,Hot Springs,Little Laurel Shelter,19.6
2012-04-04,Little Laurel Shelter,Bald Mountain Shelter,31.6
2012-04-05,Bald Mountain Shelter,"Erwin, TN",16.9
2012-04-06,"Erwin, TN",Deep Gap,21.1
2012-04-07,Deep Gap,Little Hump Mountain,30.2
2012-04-08,Little Hump Mountain,Mountaineer Falls Shelter,16.4
2012-04-09,Mountaineer Falls Shelter,Iron Mountain Shelter,40.1
2012-04-10,Iron Mountain Shelter,"Damascus, VA",26.1
2012-04-11,"Damascus, VA",Thomas Knob Shelter,28.0
2012-04-12,Thomas Knob Shelter,Trimpi Shelter,25.1
2012-04-13,Trimpi Shelter,Knot Maul Branch Shelter,36.1
2012-04-14,Knot Maul Branch Shelter,Walker Gap,10.4
2012-04-15,Walker Gap,Jenny Knob Shelter,32.5
2012-04-16,Jenny Knob Shelter,Woods Hole Hostel,20.4
2012-04-17,Woods Hole Hostel,Rice Field Shelter,17.2
2012-04-18,Rice Field Shelter,Rice Field Shelter,0.0
2012-04-19,Rice Field Shelter,Niday Shelter,43.4
2012-04-20,Niday Shelter,Lamberts Meadow Shelter,33.1
2012-04-21,Lamberts Meadow Shelter,Daleville,9.4
2012-04-22,Charlottesville,Charlottesville,0.0
2012-04-23,Daleville,Fullhardt Knob Shelter,5.0
2012-04-24,Fullhardt Knob Shelter,Thunder Hill Shelter,37.2
2012-04-25,Thunder Hill Shelter,Brown Mountain Creek Shelter,34.6
2012-04-26,Brown Mountain Creek Shelter,Maupin Field Shelter,36.2
2012-04-27,Maupin Field Shelter,Blackrock Hut,40.8
2012-04-28,Blackrock Hut,Swift Run Gap,24.8
2012-04-29,Swift Run Gap,Rock Spring Hut,20.5
2012-04-30,Rock Spring Hut,Gravel Springs Hut,28.4
2012-05-01,Gravel Springs Hut,VA 55,21.6
2012-05-02,VA 55,Dick's Dome Shelter,7.0
2012-05-03,Dick's Dome Shelter,Blackburn Trail Center,26.2
2012-05-04,Blackburn Trail Center,"Mount Vernon Picnic Shelter, MD",31.9
2012-05-05,"Mount Vernon Picnic Shelter, MD","Tumbling Run Shelter (Snoring), PA",29.8
2012-05-06,"Tumbling Run Shelter (Snoring), PA",Pine Grove Furnace State Park,29.5
2012-05-07,Pine Grove Furnace State Park,Darlingtton Shelter,33.5
2012-05-08,Darlingtton Shelter,Duncannon,11.4
2012-05-09,Duncannon,Rausch Gap Shelter,29.2
2012-05-10,Rausch Gap Shelter,Eagle's Nest Shelter,32.6
2012-05-11,Eagle's Nest Shelter,Allentown Hiking Club Shelter,31.2
2012-05-12,Allentown Hiking Club Shelter,Leroy A. Smith Shelter,33.5
2012-05-13,Leroy A. Smith Shelter,"Millbrook-Blairstown Road, NJ",34.1
2012-05-14,"Millbrook-Blairstown Road, NJ",NJ 23,28.8
2012-05-15,NJ 23,Murray Cabin,7.0
2012-05-16,Murray Cabin,"Wildcat Shelter, NY",30.7
2012-05-17,"Wildcat Shelter, NY",Hemlock Springs Campsite,31.9
2012-05-18,Hemlock Springs Campsite,Telephone Pioneers Shelter,39.8
2012-05-19,Telephone Pioneers Shelter,"Stewart Hollow Brook Shelter, CT",28.5
